RowID,PolType,PolicyNo,ForeName,Surname,Addr1,Addr2,Addr3,Postcode,DOB,mobile,eMail,RegNo,DrvLicNo,DeviceID,ABICode,ALFKey,Date_Inc,Date_Exp,OrinDate,CanDate
30,Van,V6667,C,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,BO33ABC,Lewis010203,d112233,abi909808,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
31,Van,V6667,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,BO33ABC,Lewis010203,d112233,abi909808,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
32,Van,V6667,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,,07980343536,Craig@Lewis.com,BO33ABC,Lewis010203,d112233,abi909808,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
33,Van,V6667,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,,Craig@Lewis.com,BO33ABC,Lewis010203,d112233,abi909808,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
34,Van,V6667,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,,,BO33ABC,Lewis010203,d112233,abi909808,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
35,Van,V6667,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,BO33ABC,,d112233,abi909808,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
36,Motor,P31345,Kevin,Jones,11 Green Road,Whitchurch,Cardiff,CF578XX,1987-10-10,07912445566,,CF11PPP,JONES010203,d15289,abi567194,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
37,Motor,P31345,Kevin,Jones,11 Green Road,Whitchurch,Cardiff,CF578XX,1987-10-10,07912445566,kevin@jones.com,CF11PPP,JONES010203,d15289,abi567194,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
38,Motor,P31345,Ann,Jones,11 Green Road,Whitchurch,Cardiff,CF578XX,1986-10-10,07912450850,ann@jones.com,CF11PPP,JONES213243,d15289,abi567194,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
39,HH,H2207,Kevin,Jones,11 Green Road,Whitchurch,Cardiff,CF578XX,,07912445566,kevin@jones.com,,,d15289,,alf909272,2018-01-01,2018-01-01,2018-01-01,2018-01-01
40,Motor,P765567,Paul,Evans,17 Cricket Avenue,Ely,Cardiff,CF123HJ,1967-02-23,07912101202,paul@evans.com,LO12POP,EVANS010203,d171717,abi171717,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
41,Motor,P765567,Paul,Evans,17 Cricket Avenue,Ely,Cardiff,CF123HJ,1992-02-23,07986868686,paul-jr@evans.com,LO12POP,EVANS212223,d171717,abi171717,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
42,Motor,P765567,Paul,Evans,101 student-halls,Cardiff,Cardiff,CF124FF,1992-02-23,07986868686,paul-jr@evans.com,LO12POP,EVANS212223,d181818,abi171717,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
43,Motor,P765001,Paul,Evans,101 student-halls,Cardiff,Cardiff,CF124FF,1992-02-23,07986868686,paul-jr@evans.com,NO15UIY,EVANS212223,d181818,abi758209,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
44,Motor,P95312,Barry,Rogers,77 New Street,Fairwater,Cardiff,CF122IQ,2000-12-10,0791713165,Barry@Rogers.com,TT11KLO,Rogers010203,d90023,abi317313,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
45,HH,H7720,Barry,Rogers,77 New Street,Fairwater,Cardiff,CF122IQ,2000-12-10,0791713165,Barry@Rogers.com,,,d90023,,alf765856,2018-01-01,2018-01-01,2018-01-01,2018-01-01
46,MP,MP98981,Barry,Rogers,77 New Street,Fairwater,Cardiff,CF122IQ,2000-12-10,0791713165,Barry@Rogers.com,TT11KLO,Rogers010203,d90023,abi317313,alf765856,2018-01-01,2018-01-01,2018-01-01,2018-01-01
47,Travel,T45001,Barry,Rogers,77 New Street,Fairwater,Cardiff,CF122IQ,2000-12-10,0791713165,Barry@Rogers.com,,,d90023,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
48,Motor,P95313,Harry,Rogers,77 New Street,Fairwater,Cardiff,CF122IQ,2000-12-10,07700888989,Harry@Rogers.com,RR12CDS,Rogers010204,d90023,abi317314,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
49,Motor,P9707,Steve,Edwards,65 Park Avenue,Bedwas,Caerphilly,CF837WQ,1989-01-01,07948574554,steve-edwards@gmail.com,ZX55SSS,EDWARD010203,d723546,abi923011,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
50,Motor,P9802,Steve,Edwards,179 Church Close,Rudry,Caerphilly,CF832NB,1970-01-01,07919767567,stevie@edwards.com,DE55SSS,EDWARD78787,d34433,abi76508,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
51,Motor,P6500,Steven,Edwards,1 Hollybush Road,Ty Isaf,Caerphilly,CF832IU,1954-08-18,0791972347,the_steven@edwards.com,SE56YUY,EDWARD78300,d3100034,abi989586,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
52,Motor,P9707,Steve,Edwards,100 Park Avenue,Bedwas,Caerphilly,CF837WQ,1989-01-01,0794898304,,RH194FFT,EDWARD300300,d30045,abi30067,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
53,Travel,T40056,Penny,Roberts,12 Pottery Street,Splott,Cardiff,,1999-01-01,07912345001,Penny@Roberts.com,,,d156001,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
53,Loans,L90998,Penny,Roberts,12 Pottery Street,Splott,Cardiff,CF992FF,1999-01-01,07912345001,,,,d156001,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
53,Motor,P67667,Penny,Roberts,12 Pottery Street,Splott,Cardiff,CF992FF,1999-01-01,07912345001,Penny@Roberts.com,CC13FCC,ROBERTS876230,d156001,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
54,Travel,T40903,June,Pickard,102 West Road,Radyr,Cardiff,CF881HG,1999-01-01,0791333333,June@Pickard.com,,,d15346001,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
54,Loans,L8940903,June,Pickard,102 West Road,Radyr,Cardiff,,1999-01-01,0791333333,,,,d15346001,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
55,Motor,P19705,Wendy,Griffiths,3 Yellow Brick Road,Gabalfa,Cardiff,CF651SA,1999-05-23,0797980818283,wendy@griffiths.com,WE12GRF,GRIFFITH167297,d602737,abi1233333,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
56,Motor,P19705,Wendy,Griffiths,Flat 4 Student Block 3,Studentsville,Cardiff,CF885ST,1999-05-23,0797980818283,wendy@griffiths.com,WE12GRF,GRIFFITH167297,d400200,abi1233333,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
57,HH,H70010,Hillary,Olazabal,200 First Avenue,Trecenydd,Caerphilly,CF839OL,1994-01-14,0797954400,holly234@gmail.com,,,d7006115,,alf70010,2018-01-01,2018-01-01,2018-01-01,2018-01-01
58,HH,H70011,Colin,Ballesteros,11 Brynsiriol,Llanbradach,Caerphilly,CF834GF,1990-02-15,0797954401,colball@gmail.com,,,d7006115,,alf70011,2018-01-01,2018-01-01,2018-01-01,2018-01-01
59,HH,H70012,James,Woosnam,47 Queen Street,Ystrad Mynach,Caerphilly,CF832JH,1984-03-16,0797954402,woosy67@gmail.com,,,d7006115,,alf70012,2018-01-01,2018-01-01,2018-01-01,2018-01-01
60,HH,H70013,Iris,Woods,33 London Road,Senghenydd,Caerphilly,CF836VV,2001-04-17,0797954403,IWoods70@gmail.com,,,d7006115,,alf70013,2018-01-01,2018-01-01,2018-01-01,2018-01-01
61,HH,H70014,Maude,McIlroy,2 Swansea Way,Abertridwr,Caerphilly,CF831IO,1965-05-18,0797954404,mmac@gmail.com,,,d7006115,,alf70014,2018-01-01,2018-01-01,2018-01-01,2018-01-01
62,HH,H70015,Tina,Couples,150 West View,Penyrheol,Caerphilly,CF833BI,1977-06-19,0797954405,tinacouples2@gmail.com,,,d7006115,,alf70015,2018-01-01,2018-01-01,2018-01-01,2018-01-01
63,HH,H70016,Sheena,Faldo,79 North Avenue,Churchill Park,Caerphilly,CF839AA,1992-07-20,0797954406,faldo_sheena@gmail.com,,,d7006115,,alf70016,2018-01-01,2018-01-01,2018-01-01,2018-01-01
64,Motor,P888234,Dan,Sterling,35 Student Street,Gabalfa,Cardiff,CF404ST,2000-02-23,,,PP22JJJ,STERLI52077,,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
65,Motor,,Danny,Sterling,46 Student Street,Gabalfa,Cardiff,CF404ST,1997-02-03,0797985558283,dsterl@aol.com,WE12GRF,STERLI52067,d400200,abi1233333,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
66,Motor,P910003,Mary,Christie,345 Fir Tree Street,Splott,Cardiff,CF840KK,1974-10-20,07980343536,MJC1234@hotmail.com,CW72AJG,CHRISTI100200,d926666,abi777717,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
67,Van,V87442,Mary,Christie,345 Fir Tree Street,Splott,Cardiff,CF840KK,,,Mary@Christie.com,IP13GDO,CHRISTI100200,d44556677,abi159038,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
